"시도별",2010,2011,2012,2013,2014,2015,2016,2017,2018
"전국",14558,15137,15711,16432,17006,18063,18520,19204,19894
"서울특별시",17277,18252,18795,19525,19832,20857,21295,22237,23259
"부산광역시",13605,14396,15098,15651,16147,17044,17525,18189,18917
"대구광역시",13446,13969,14554,15320,16031,17226,17848,18350,18585
"인천광역시",13214,13600,14181,14829,15507,16598,17222,17884,18626
"광주광역시",13439,13815,14662,15454,16225,17459,18232,18926,19804
"대전광역시",14373,14992,15537,16253,16946,18229,18741,19314,19749
"울산광역시",17634,18594,18941,19782,20142,21348,21422,21956,21666
"경기도",14455,15041,15647,16399,16969,18069,18611,19375,19851
"강원도",12844,13124,13712,14394,15152,16311,16798,17484,18472
"충청북도",13246,13422,14111,14707,15558,16531,16915,17465,18427
"충청남도",13326,13376,13948,14892,15509,16703,16952,17788,18472
"전라북도",13197,13653,13915,14628,15548,16239,16499,17059,18291
"전라남도",13161,13374,13982,14575,15039,16067,16528,17043,18053
"경상북도",13342,13631,14283,15052,15738,16550,16894,17428,18319
"경상남도",13933,14423,14931,15646,16272,17411,17744,18011,18479
"제주특별자치도",13259,13888,14383,14829,15329,16685,17366,17816,18469
